fontcolor,bold,italic,alignment,outlinelevel,wordobjecttype,imarkerstype,imarkerspos,punctuation,keyword,fontsize,characount,sentencount,firstlineindent,spacebefore,spaceafter,linespacing,wordobjectwidth,wordobjectheight
4,0,0,5,0,1,1,1,0,1,0.0,0.027932960893854747,0.0,-1.0,0.0,0.0,0.4736842105263158,0.0,0.0
5,0,0,3,0,1,1,1,0,1,1.0,0.016759776536312845,0.0,-1.0,0.0,0.0,0.9999999999999999,0.0,0.0
4,0,0,2,0,1,1,1,0,1,0.0,0.016759776536312845,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
4,0,0,2,0,1,1,1,0,1,0.3333333333333333,0.06145251396648045,0.0,-1.0,0.0,0.0,0.6052631578947368,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.10055865921787709,0.0,-1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.08379888268156425,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,5,0,1,1,1,0,1,0.0,0.9329608938547487,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.05027932960893855,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.8491620111731844,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.05027932960893855,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.4301675977653632,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.055865921787709494,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.5251396648044693,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.12290502793296089,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.5195530726256984,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.027932960893854747,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.5027932960893855,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.10055865921787709,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.2905027932960894,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.05027932960893855,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.4357541899441341,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,4,0,1,1,1,0,1,0.0,0.08379888268156425,0.0,-1.0,0.0,0.0,0.42105263157894735,0.0,0.0
4,0,0,4,0,1,1,1,0,1,0.0,0.0,0.0,-1.0,0.0,0.0,0.42105263157894735,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,0,0,5,0,1,1,1,0,1,0.0,0.058823529411764705,0.0,-1.0,0.0,0.0,0.4736842105263158,0.0,0.0
5,0,0,3,0,1,1,1,0,1,1.0,0.04575163398692811,0.0,-1.0,0.0,0.0,0.9999999999999999,0.0,0.0
4,0,0,2,0,1,1,1,0,1,0.0,0.04575163398692811,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
4,0,0,2,0,1,1,1,0,1,0.3333333333333333,0.09803921568627452,0.0,-1.0,0.0,0.0,0.6052631578947368,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.0392156862745098,0.0,-1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.0196078431372549,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.7254901960784315,0.5,0.9593750000000001,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.6143790849673203,0.5,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.7908496732026145,0.5,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,0.5555555555555556,0.5,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,3,0,1,1,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,4,0,1,1,1,0,1,0.0,0.1568627450980392,0.0,-1.0,0.0,0.0,0.4736842105263158,0.0,0.0
4,0,0,4,0,1,1,1,0,1,0.0,0.0196078431372549,0.0,-1.0,0.0,0.0,0.4736842105263158,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
